mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.16564234097798666,0.025406507710720914,0.014384190241495768,0.0017722030707444036,0.1,l2,lbfgs,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9603092654299462,0.9437413951140767,0.9490942792382766,0.9510483132607664,0.00690349034530859,11
0.44361527760823566,0.03247052222636766,0.014263788859049479,0.0005976143031578826,0.1,l2,saga,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.9603092654299462,0.9437413951140767,0.9490942792382766,0.9510483132607664,0.00690349034530859,11
0.22870310147603354,0.047581784951169354,0.029180606206258137,0.01230022712717296,0.5,l2,lbfgs,"{'C': 0.5, 'penalty': 'l2', 'solver': 'lbfgs'}",0.967271867386516,0.9649194891430918,0.9595506642208388,0.9639140069168155,0.0032313558002727174,10
1.0404423872629802,0.05879693762227692,0.01817011833190918,0.006995726979834232,0.5,l2,saga,"{'C': 0.5, 'penalty': 'l2', 'solver': 'saga'}",0.967271867386516,0.9649194891430918,0.9605919770908152,0.9642611112068077,0.002766505584172781,9
0.2611476580301921,0.01134163420037227,0.01660617192586263,0.0007629820775337529,1.0,l2,lbfgs,"{'C': 1.0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9660122574312539,0.967502982361658,0.9612720801282523,0.9649291066403881,0.0026565575955083964,8
1.106223742167155,0.13942267969198974,0.015425523122151693,0.003774267419071249,1.0,l2,saga,"{'C': 1.0, 'penalty': 'l2', 'solver': 'saga'}",0.9666315015993492,0.967502982361658,0.9612720801282523,0.9651355213630864,0.002754935366577779,5
0.25083470344543457,0.07238653363322552,0.015561421712239584,0.003693791001547594,2.0,l2,lbfgs,"{'C': 2.0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9649539418531421,0.967502982361658,0.9625446803594423,0.9650005348580808,0.002024486415098236,7
1.2994817892710369,0.022109826619803874,0.009819587071736654,0.00176771702817945,2.0,l2,saga,"{'C': 2.0, 'penalty': 'l2', 'solver': 'saga'}",0.9655950977736455,0.967502982361658,0.961922391334156,0.9650068238231532,0.002315930156500084,6
0.25478943188985187,0.008657867870318935,0.019214630126953125,0.006635948362846022,5.0,l2,lbfgs,"{'C': 5.0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9666196999446779,0.9681476242352239,0.9646708692370806,0.9664793978056608,0.0014228421901106504,1
2.640603462855021,0.06508939338870257,0.01123825709025065,0.002154680445434361,5.0,l2,saga,"{'C': 5.0, 'penalty': 'l2', 'solver': 'saga'}",0.9666196999446779,0.9681476242352239,0.9636068826403998,0.9661247356067673,0.0018865004337121018,4
0.25922830899556476,0.05948170055582582,0.015824079513549805,0.004209262006003234,10.0,l2,lbfgs,"{'C': 10.0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9666196999446779,0.9681476242352239,0.964251175193768,0.9663394997912232,0.0016030102677281216,3
2.7598864237467446,0.023100371623856034,0.0055999755859375,0.0004912279495644069,10.0,l2,saga,"{'C': 10.0, 'penalty': 'l2', 'solver': 'saga'}",0.9666196999446779,0.9681476242352239,0.9646708692370806,0.9664793978056608,0.0014228421901106504,1
