mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
27.135731776555378,28.557565471469733,0.03096469243367513,0.005702990959068924,0.7,0.03,3,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",0.9914003495752187,0.9854858583399163,0.9882622268482567,0.9883828115877972,0.002416085974280827,242
53.20380234718323,20.10745867051452,0.04031912485758463,0.012607823132238627,0.7,0.03,3,100,0.85,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.85}",0.9920278542606334,0.9854858583399163,0.9889015656589839,0.9888050927531779,0.0026716297052343544,237
27.566705067952473,28.09748080608614,0.03184962272644043,0.0035345174729494166,0.7,0.03,3,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.9939126200547376,0.9858969548806709,0.990178929002143,0.9899961679791839,0.0032749323900727366,235
28.238175948460896,28.27717999926638,0.052361090977986656,0.005280164129958552,0.7,0.03,3,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",0.9937136611668144,0.9909448569332932,0.9920730067656048,0.992243841621904,0.0011367959746545987,228
27.661839485168457,28.670822326812203,0.04512373606363932,0.016046528234196236,0.7,0.03,3,200,0.85,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.85}",0.9937136611668144,0.9909448569332932,0.9920730067656048,0.992243841621904,0.0011367959746545987,228
28.196156978607178,28.22915363370302,0.0648796558380127,0.031541908278119736,0.7,0.03,3,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.9937136611668144,0.9909448569332932,0.9914345118892145,0.9920310099964406,0.0012064898714409936,233
30.28909198443095,28.071369134366417,0.0757156213124593,0.0166692353454064,0.7,0.03,3,400,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.7}",0.9937136611668144,0.9972691307959796,0.9941479715684997,0.9950435878437646,0.001583653467011964,210
10.010280927022299,1.1717827487863142,0.06522679328918457,0.017674601323493477,0.7,0.03,3,400,0.85,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.85}",0.9937136611668144,0.9972691307959796,0.9941479715684997,0.9950435878437646,0.001583653467011964,210
20.274803400039673,24.283622848285695,0.6542957623799642,0.8159077530979328,0.7,0.03,3,400,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 400, 'subsample': 1.0}",0.992674279236192,0.9983187914068767,0.9947843485493969,0.9952591397308219,0.002328690534860199,206
1.4624456564585369,0.4413713083191741,0.054956277211507164,0.016786829047010284,0.7,0.03,5,100,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",0.9957980009907627,0.9970532470229595,0.9972742072244024,0.9967084850793748,0.0006500983563366461,50
1.1364342371622722,0.26038761712032726,0.04785879453023275,0.014718653823500447,0.7,0.03,5,100,0.85,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.85}",0.9957980009907627,0.9970532470229595,0.9972742072244024,0.9967084850793748,0.0006500983563366461,50
1.0787351926167805,0.40555120926956134,0.03071935971577962,0.005375444962173177,0.7,0.03,5,100,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.9951645571512385,0.9970532470229595,0.9962302648332061,0.9961493563358014,0.000773173976368218,169
24.50961184501648,31.55903637661017,0.14941692352294922,0.09245855885789626,0.7,0.03,5,200,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.7}",0.9957980009907627,0.9970511573071988,0.9962302648332061,0.9963598077103892,0.0005197346798304155,127
2.5679538249969482,0.8793850236526312,0.12142618497212727,0.05357365458074676,0.7,0.03,5,200,0.85,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.85}",0.9957980009907627,0.9970532470229595,0.9962302648332061,0.9963605042823094,0.0005206613652612306,112
1.9168570041656494,1.1074946149528706,0.09389392534891765,0.06645312984812989,0.7,0.03,5,200,1.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.9957980009907627,0.9970532470229595,0.9962302648332061,0.9963605042823094,0.0005206613652612306,112
7.078707377115886,0.29728329527275854,0.28158998489379883,0.02031413916759808,0.7,0.03,5,400,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 400, 'subsample': 0.7}",0.9957980009907627,0.9976846377633105,0.9962302648332061,0.9965709678624264,0.0008070144540103266,68
